,LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
0,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2017,1.918,
1,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2018,1.692,
2,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2019,1.485,
3,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2020,2.4,
4,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2021,2.021,
5,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2022,2.049,
6,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2023,2.081,
7,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2024,2.108,
8,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2025,2.135,
9,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2026,2.163,
10,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2027,2.193,
11,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2028,2.222,
12,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2029,2.251,
13,AUS,CROPYIELD,WHEAT,TONNE_HA,A,2030,2.279,
14,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2017,3.382,
15,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2018,3.274,
16,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2019,3.384,
17,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2020,3.512,
18,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2021,3.39,
19,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2022,3.492,
20,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2023,3.529,
21,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2024,3.563,
22,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2025,3.597,
23,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2026,3.633,
24,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2027,3.67,
25,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2028,3.707,
26,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2029,3.745,
27,CAN,CROPYIELD,WHEAT,TONNE_HA,A,2030,3.782,
28,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2017,4.272,
29,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2018,3.609,
30,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2019,4.901,
31,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2020,4.878,
32,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2021,4.076,
33,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2022,4.089,
34,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2023,4.101,
35,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2024,4.113,
36,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2025,4.125,
37,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2026,4.138,
38,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2027,4.15,
39,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2028,4.163,
40,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2029,4.175,
41,JPN,CROPYIELD,WHEAT,TONNE_HA,A,2030,4.188,
42,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2017,4.032,
43,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2018,3.185,
44,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2019,3.195,
45,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2020,3.203,
46,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2021,3.211,
47,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2022,3.218,
48,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2023,3.226,
49,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2024,3.233,
50,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2025,3.241,
51,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2026,3.248,
52,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2027,3.255,
53,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2028,3.262,
54,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2029,3.269,
55,KOR,CROPYIELD,WHEAT,TONNE_HA,A,2030,3.277,
56,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2017,5.297,
57,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2018,5.437,
58,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2019,5.546,
59,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2020,5.325,
60,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2021,5.351,
61,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2022,5.375,
62,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2023,5.417,
63,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2024,5.436,
64,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2025,5.449,
65,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2026,5.475,
66,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2027,5.506,
67,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2028,5.534,
68,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2029,5.561,
69,MEX,CROPYIELD,WHEAT,TONNE_HA,A,2030,5.585,
70,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2017,9.883,
71,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2018,8.961,
72,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2019,8.847,
73,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2020,10.929,
74,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2021,10.962,
75,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2022,10.995,
76,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2023,11.041,
77,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2024,11.069,
78,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2025,11.091,
79,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2026,11.125,
80,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2027,11.162,
81,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2028,11.198,
82,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2029,11.234,
83,NZL,CROPYIELD,WHEAT,TONNE_HA,A,2030,11.266,
84,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2017,2.774,
85,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2018,2.576,
86,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2019,2.458,
87,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2020,2.646,
88,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2021,2.663,
89,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2022,2.697,
90,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2023,2.729,
91,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2024,2.765,
92,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2025,2.801,
93,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2026,2.842,
94,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2027,2.883,
95,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2028,2.924,
96,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2029,2.966,
97,TUR,CROPYIELD,WHEAT,TONNE_HA,A,2030,3.008,
98,USA,CROPYIELD,WHEAT,TONNE_HA,A,2017,3.112,
99,USA,CROPYIELD,WHEAT,TONNE_HA,A,2018,3.201,
100,USA,CROPYIELD,WHEAT,TONNE_HA,A,2019,3.474,
101,USA,CROPYIELD,WHEAT,TONNE_HA,A,2020,3.346,
102,USA,CROPYIELD,WHEAT,TONNE_HA,A,2021,3.306,
103,USA,CROPYIELD,WHEAT,TONNE_HA,A,2022,3.334,
104,USA,CROPYIELD,WHEAT,TONNE_HA,A,2023,3.361,
105,USA,CROPYIELD,WHEAT,TONNE_HA,A,2024,3.387,
106,USA,CROPYIELD,WHEAT,TONNE_HA,A,2025,3.413,
107,USA,CROPYIELD,WHEAT,TONNE_HA,A,2026,3.44,
108,USA,CROPYIELD,WHEAT,TONNE_HA,A,2027,3.475,
109,USA,CROPYIELD,WHEAT,TONNE_HA,A,2028,3.521,
110,USA,CROPYIELD,WHEAT,TONNE_HA,A,2029,3.566,
111,USA,CROPYIELD,WHEAT,TONNE_HA,A,2030,3.609,
112,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2017,3.12,
113,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2018,3.094,
114,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2019,2.862,
115,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2020,2.567,
116,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2021,2.941,
117,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2022,2.97,
118,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2023,3.008,
119,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2024,3.035,
120,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2025,3.059,
121,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2026,3.09,
122,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2027,3.123,
123,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2028,3.155,
124,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2029,3.188,
125,ARG,CROPYIELD,WHEAT,TONNE_HA,A,2030,3.219,
126,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2017,2.088,
127,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2018,2.66,
128,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2019,2.204,
129,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2020,2.717,
130,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2021,2.527,
131,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2022,2.557,
132,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2023,2.59,
133,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2024,2.618,
134,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2025,2.646,
135,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2026,2.675,
136,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2027,2.706,
137,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2028,2.737,
138,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2029,2.767,
139,BRA,CROPYIELD,WHEAT,TONNE_HA,A,2030,2.796,
140,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2017,6.225,
141,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2018,6.286,
142,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2019,6.004,
143,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2020,5.98,
144,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2021,6.01,
145,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2022,6.039,
146,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2023,6.077,
147,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2024,6.105,
148,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2025,6.129,
149,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2026,6.16,
150,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2027,6.193,
151,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2028,6.225,
152,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2029,6.258,
153,CHL,CROPYIELD,WHEAT,TONNE_HA,A,2030,6.288,
154,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2017,5.481,
155,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2018,5.417,
156,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2019,5.631,
157,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2020,5.742,
158,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2021,5.597,
159,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2022,5.619,
160,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2023,5.646,
161,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2024,5.665,
162,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2025,5.688,
163,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2026,5.71,
164,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2027,5.733,
165,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2028,5.756,
166,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2029,5.779,
167,CHN,CROPYIELD,WHEAT,TONNE_HA,A,2030,5.802,
168,COL,CROPYIELD,WHEAT,TONNE_HA,A,2017,2.068,
169,COL,CROPYIELD,WHEAT,TONNE_HA,A,2018,2.2,
170,COL,CROPYIELD,WHEAT,TONNE_HA,A,2019,1.0,
171,COL,CROPYIELD,WHEAT,TONNE_HA,A,2020,1.667,
172,COL,CROPYIELD,WHEAT,TONNE_HA,A,2021,1.6,
173,COL,CROPYIELD,WHEAT,TONNE_HA,A,2022,1.618,
174,COL,CROPYIELD,WHEAT,TONNE_HA,A,2023,1.641,
175,COL,CROPYIELD,WHEAT,TONNE_HA,A,2024,1.666,
176,COL,CROPYIELD,WHEAT,TONNE_HA,A,2025,1.69,
177,COL,CROPYIELD,WHEAT,TONNE_HA,A,2026,1.718,
178,COL,CROPYIELD,WHEAT,TONNE_HA,A,2027,1.744,
179,COL,CROPYIELD,WHEAT,TONNE_HA,A,2028,1.771,
180,COL,CROPYIELD,WHEAT,TONNE_HA,A,2029,1.798,
181,COL,CROPYIELD,WHEAT,TONNE_HA,A,2030,1.825,
182,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2017,6.86,
183,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2018,6.296,
184,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2019,6.383,
185,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2020,6.316,
186,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2021,6.466,
187,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2022,6.545,
188,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2023,6.644,
189,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2024,6.747,
190,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2025,6.849,
191,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2026,6.961,
192,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2027,7.071,
193,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2028,7.182,
194,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2029,7.295,
195,EGY,CROPYIELD,WHEAT,TONNE_HA,A,2030,7.406,
196,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2017,2.866,
197,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2018,2.986,
198,ETH,CROPYIELD,WHEAT,TONNE_HA,A,2019,3.281,
